T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.0001,0,0,0.04272,0,0.00315,0,0.00018,0.019,0,0.00953,0.00118,0,0,0.17453,0,0,0,0.00038,0.00067,0,0.14976,0.00027,0.02818,0.00037,0,0,0,6e-05,0,0,0.00026,0.00024,0.00015,0,0,0.00956,0.00022,0,0.01011,0,0.32508,0,0.08957,0,0.01062,0.0007,0,0.00016,0.04019,0,0.00686,0.01296,0,0,7e-05,0.09418,0.0002,0.0091,0,0.0002,0.00028,0.01245,0.00029,0.00011,0,0.10452,0.09028
0.02,9e-05,0,0,0.04368,0,0.00185,0,0.00018,0.01791,0,0.00988,0.00116,0,0,0.23097,0,0,0,0.00036,0.00065,0,0.17673,0.00024,0.04796,0.00032,0,0.03681,0,6e-05,0,0,0.00023,0.00022,0.00014,0,0.02566,0.01115,0.00021,0,0.01049,0,0.3273,0,0.08414,0,0.00946,0.00067,0,0.00013,0.03133,0.004,0.00723,0.01223,0,0,7e-05,0.09569,0.00017,0.01133,0,0.00019,0.00029,0.00556,0.00028,9e-05,0,0.04423,0.05782
0.04,9e-05,0,0,0.04459,0,0.00068,0,0.00018,0.0166,0,0.01023,0.00113,0.00127,0,0.28759,0,0,0,0.00034,0.00063,0,0.20461,0.00022,0.06772,0.00027,0,0.0942,0,6e-05,0,0,0.00021,0.0002,0.00013,0,0.04986,0.01287,0.0002,0,0.01082,0,0.32682,0,0.07871,0,0.00821,0.00064,0,0.00011,0.02265,0.00871,0.00748,0.0115,0,0,7e-05,0.09757,0.00015,0.01352,0,0.00017,0.0003,0.00132,0.00027,8e-05,0,0,0.02626
0.06,9e-05,0,0,0.04543,0,0,0,0.00018,0.01509,0,0.01058,0.00108,0.00284,0,0.34368,0,0,0.00017,0.00032,0.00061,0,0.23314,0.0002,0.08721,0.00023,0,0.15093,0,6e-05,0,0,0.00019,0.00018,0.00013,0,0.07124,0.01471,0.00018,0,0.01105,0,0.32323,0,0.07331,0,0.00688,0.00062,0,9e-05,0.01425,0.01288,0.00758,0.01079,0,0,6e-05,0.09986,0.00013,0.01563,0,0.00016,0.00031,0.00014,0.00027,7e-05,0,0,0
0.08,8e-05,0,0,0.04619,0,0,0,0.00018,0.01339,0,0.01092,0.00102,0.00449,0,0.39841,0,0,0.00039,0.0003,0.00059,0.00134,0.26205,0.00017,0.10614,0.00018,0.0035,0.20653,0,6e-05,0,0,0.00017,0.00015,0.00012,0,0.0894,0.01666,0.00017,0.00118,0.01118,0,0.31612,0,0.06794,0,0.00547,0.0006,0,7e-05,0.00622,0.01643,0.00752,0.01009,0,0,6e-05,0.10262,0.00011,0.01761,0,0.00015,0.00032,0.00241,0.00026,6e-05,0,0,0
0.1,8e-05,0,0,0.04684,0,0,0,0.00018,0.0115,0,0.01125,0.00093,0.00621,0,0.45081,0,0,0.00067,0.00028,0.00058,0.01702,0.29096,0.00015,0.12418,0.00015,0.05414,0.26035,0,6e-05,0,0,0.00015,0.00013,0.00012,0,0.104,0.01871,0.00016,0.01141,0.01117,0,0.3051,0,0.06261,0,0.00398,0.00059,0.00836,5e-05,0,0.01925,0.00729,0.0094,0,0,6e-05,0.10591,0.0001,0.01943,0,0.00014,0.00032,0.00852,0.00025,5e-05,0,0,0
0.12,8e-05,0,0,0.04736,0,0,0.00506,0.00018,0.00946,0,0.01155,0.00082,0.008,0,0.49974,0.00953,0,0.001,0.00026,0.00057,0.03141,0.31946,0.00013,0.14094,0.00011,0.10162,0.31157,0,7e-05,0,0,0.00013,0.0001,0.00011,0,0.11469,0.02084,0.00015,0.01887,0.011,0,0.28979,0.0002,0.0573,0.00018,0.00241,0.00058,0.0233,4e-05,0,0.02128,0.00688,0.00874,0,0,6e-05,0.10981,8e-05,0.02105,0,0.00012,0.00032,0.01879,0.00025,4e-05,0,0,0
0.14,7e-05,0,0.00011,0.04774,0,0,0.01288,0.00018,0.00731,0,0.01181,0.00069,0.00983,0,0.54391,0.02601,0,0.00141,0.00024,0.00056,0.04419,0.34705,0.00011,0.15598,8e-05,0.14542,0.35925,0,7e-05,0,0,0.00011,6e-05,0.00011,0,0.12119,0.02303,0.00014,0.02345,0.01063,0,0.2698,0.00099,0.05195,0.00055,0.00079,0.00057,0.04039,3e-05,0,0.02241,0.00628,0.00812,0,0,5e-05,0.1144,7e-05,0.0224,0,0.00011,0.00032,0.03353,0.00024,3e-05,0,0,0
0.16,7e-05,0,0.00142,0.04795,0,0,0.02198,0.00017,0.00511,0,0.01203,0.00053,0.01171,0,0.58187,0.04511,0,0.00188,0.00022,0.00054,0.05498,0.37316,9e-05,0.16882,5e-05,0.18485,0.40233,0,6e-05,0,0,0.0001,2e-05,0.0001,0,0.12329,0.02525,0.00012,0.02514,0.01004,0,0.2448,0.00191,0.0465,0.00099,0,0.00057,0.05978,2e-05,0,0.02261,0.00549,0.00753,0,0,5e-05,0.11976,5e-05,0.02343,0,0.0001,0.00031,0.05295,0.00023,2e-05,0,0,0
0.18,6e-05,0,0.003,0.04796,0.00095,0,0.03245,0.00017,0.00292,0,0.01219,0.00034,0.01363,0,0.61201,0.06701,0,0.00243,0.00021,0.00053,0.06342,0.39714,7e-05,0.17896,3e-05,0.21916,0.43966,0,6e-05,0,0,8e-05,0,0.0001,0,0.12089,0.02748,0.00011,0.02404,0.00921,0,0.21445,0.00298,0.04087,0.00151,0,0.00056,0.08159,1e-05,0,0.0218,0.00451,0.00697,0,0,5e-05,0.12599,4e-05,0.02409,0.00223,9e-05,0.00029,0.07716,0.00022,1e-05,0,0,0
