T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0.00136,0.00317,0,0.0384,0.5128,0,0.0161,0.00136,0,0.49625,0,0,1,1,0,0.00136,0.07569,0,0,0,0,0,0.00136,0.00136,0,0,0.00346,4e-05,0,0,0,0.44215,0.19969,1,0,0,0,0,0.91442,1,0,0.00289,0.08588,0,1,1,0.00025,0.0003,0.00017,0,0,0,0,0.00051,0,0.00025,0,0.00025,0,0.00139,0,0,0.00025,0.00289,0.00139
0.02,0,0,0,0.00136,0,0,0.04798,0.53677,0,0.01696,0.00222,0,0.40159,0,0,1,1,0.00013,0.00185,0.0842,0,0,0,0,0,0.00185,0.00136,5e-05,0,0.00432,0,0,0,0,0.45079,0.20933,1,0,0,0.00057,0,0.77488,1,0,0,0.09552,0,1,0.65223,0,0,0,0,0,0,0,0,0,0.00109,0,0.00109,0,0.00208,0,0,0.00109,0,0.0022
0.04,0,0,0,0.00136,0,0,0.04817,0.54773,0,0.01696,0.00222,0,0.35525,0,0,1,1,0,0.00185,0.0842,0,0,0,0,0,0.00185,0.00136,0,0,0.00432,0,0,0,0,0.40413,0.20952,1,0,0,0.00057,0,0.52799,1,0,0.00073,0.09571,0,1,0.35214,0,0,0,0,0,0,0,0,0,0.00109,0,0.00109,0,0.00208,0,0,0.00109,0.00073,0.0022
0.06,2e-05,0,0,0.00018,9e-05,0,0.07393,0.62379,0,0.02672,0.01333,0,0.27328,0,0,1,1,0,0.00306,0.09343,0,0,0.00132,0.00132,0,0.00306,0.00257,0,0,0.00695,0,0,0,0,0.37563,0.16613,0.99874,0,0.00029,0.00333,0,0.51385,1,0,0,0.10919,0.00237,1,0.01235,0,0,0,0,0.0011,0,0,0.00275,0,0.00254,0.00237,0.00384,2e-05,0.00582,0.00237,0,0.00335,0,0.00594
0.08,0,0,0,0.00038,0,0,0.07663,0.66383,0,0.02788,0.01604,0,0.23067,0,0,1,1,0,0.00345,0.09459,0,0,0.00132,0.00132,0,0.00345,0.00296,0,0,0.00012,0,0,0,0,0.33558,0.13186,0.84986,0,0,0.00333,0,0.38058,1,0,0,0.10509,0.00187,1,0,0,0,0,0,0,0,0,0.00275,0,0.00254,0.00187,0.00384,0,0.00698,0.00013,0,0.00335,0,0.0069
0.1,0.00021,0,0,0.00038,0,0.00051,0.0834,0.69817,0,0.03515,0.02635,0,0.17867,0,0,1,1,0,0.00345,0.08393,0,0,0.00132,0.00132,0,0.00226,0.00296,0,0,0,0,0,0,0,0.31018,0.10024,0.7138,0,0,0.00333,0,0.26401,1,0,0,0.08953,0.00187,1,0,0,0,0,0,0,0,0,0.00306,0,0.00285,0.00187,0.00415,0.00016,0.00988,0.00044,0,0.00365,0.00021,0.00965
0.12,0,0,0,0.00038,0,2e-05,0.11097,0.72743,3e-05,0.07999,0.09947,0.0005,0.11083,0,0,1,1,0,0.00199,0.06042,0,0,0.00312,3e-05,0.00313,0,0.00666,0,0,0,0,0,0,0,0.27983,0.04367,0.59002,0,0,0.00246,0,0.14942,1,0,0,0.05219,0.001,1,0,0,0,0,0,0,0,0,0.01065,0,0.01078,0.00187,0.00328,0,0.03758,0.00044,0,0.01388,0.00694,0.03035
0.14,0,0,0,0,0,0,0.1004,0.74953,0,0.09583,0.13013,0.0005,0.07545,0,0,1,1,0,3e-05,0.05645,0,0,0.00067,0,0.00026,0,0.00322,0,0,0,0,0,0,0,0.25243,0.03637,0.4789,0.00015,0,0.00261,0,0.04458,1,0,0,0.04699,0.00115,1,0,0,0,0,0,0,0,0.00015,0.01271,0,0.01304,0.00377,0.00318,0,0.05346,0.00059,0,0.01536,0.01423,0.04267
0.16,0,0,0,0,0,0,0.09271,0.76353,0,0.09777,0.14272,0.00061,0.02746,0,0,1,1,0,0,0.04515,0,0,0.00079,0,0.00038,0,0.0001,0,0,0,0,0.00011,0,0.00011,0.22821,0.01224,0.37727,0.00015,0,0.00279,0,0,1,0,0,0.0286,0.00115,1,0,0,0,0,0,0,0,0.00015,0.01379,0,0.01265,0.00412,0.0027,0,0.05785,0.00059,0,0.01514,0.01844,0.04626
0.18,0,0,0,0.00145,0,5e-05,0.0858,0.7673,0,0.10035,0.15561,0.0003,0,0,0,1,1,0,0,0.03517,0,0,0.00057,0,0.00019,0,0,0,0,0,0,0.00042,0.00021,0.00042,0.20538,0,0.28727,0.00015,0,0.00197,0,0,1,0,0,0.01001,0.00096,1,0,0,0,0,0,0,0,0.00015,0.01699,0,0.01216,0.00753,0.00234,0,0.06736,0.00152,0,0.01447,0.0474,0.05363
