T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00084,8e-05,-0.00012,3.01518,-0.7296,-0.06009,0.93491,0.04457,-0.0128,-0.3492,-0.01475,-0.01016,1.59581,-1.44243,1.11996,0.093,2.13503,0.2499,0.09896,0.01731,1.61013,-0.14668,0.18473,-1.70066,0.18699,-0.0161,0.80905,-0.12841,-0.02113,-0.36268,-0.13088,-0.06785,-0.04724,0.82524,0.16993,-0.01277,-0.42706,-0.15668,0.08312,0.05974
0.02,0.00106,9e-05,3e-05,3.01585,-0.72927,-0.05985,0.93464,0.0446,-0.0129,-0.3503,-0.01458,-0.01016,1.59567,-1.44193,1.11996,0.093,2.13492,0.24979,0.09842,0.00421,1.61039,-0.13386,0.18444,-1.70069,0.18708,-0.01591,0.80901,-0.12852,-0.0195,-0.36263,-0.13096,-0.06792,-0.04732,0.8255,0.17015,-0.0099,-0.42715,-0.15669,0.08327,0.0596
0.04,0.00128,0.0001,0.00017,3.01653,-0.72894,-0.05961,0.93438,0.04462,-0.013,-0.35141,-0.01441,-0.01016,1.59553,-1.44143,1.11997,0.093,2.1348,0.24968,0.09788,-0.00888,1.61065,-0.12105,0.18414,-1.70072,0.18717,-0.01572,0.80898,-0.12863,-0.01788,-0.36258,-0.13105,-0.068,-0.04741,0.82575,0.17038,-0.00704,-0.42723,-0.15669,0.08342,0.05947
0.06,0.0015,0.00011,0.00032,3.01721,-0.72862,-0.05936,0.93411,0.04465,-0.01311,-0.35251,-0.01424,-0.01016,1.5954,-1.44093,1.11997,0.093,2.13468,0.24957,0.09733,-0.02195,1.61092,-0.10827,0.18385,-1.70075,0.18726,-0.01552,0.80894,-0.12874,-0.01625,-0.36253,-0.13113,-0.06807,-0.0475,0.826,0.17061,-0.00419,-0.42732,-0.15669,0.08357,0.05934
0.08,0.00172,0.00012,0.00046,3.01789,-0.72829,-0.05912,0.93384,0.04467,-0.01321,-0.35361,-0.01407,-0.01016,1.59525,-1.44043,1.11997,0.093,2.13456,0.24945,0.09679,-0.03503,1.61118,-0.09548,0.18356,-1.70078,0.18736,-0.01533,0.80891,-0.12885,-0.01463,-0.36249,-0.13122,-0.06814,-0.04758,0.82626,0.17084,-0.00132,-0.4274,-0.1567,0.08372,0.05921
0.1,0.00194,0.00013,0.00061,3.01857,-0.72797,-0.05888,0.93357,0.0447,-0.01332,-0.35472,-0.0139,-0.01016,1.59514,-1.43993,1.11998,0.093,2.13445,0.24934,0.09625,-0.04814,1.61144,-0.08265,0.18326,-1.70082,0.18745,-0.01514,0.80887,-0.12896,-0.013,-0.36244,-0.1313,-0.06822,-0.04767,0.82651,0.17106,0.00152,-0.42749,-0.1567,0.08387,0.05908
0.12,0.00216,0.00014,0.00076,3.01924,-0.72764,-0.05864,0.9333,0.04472,-0.01342,-0.35582,-0.01374,-0.01016,1.59497,-1.43943,1.11998,0.093,2.13433,0.24923,0.09569,-0.06117,1.6117,-0.06992,0.18297,-1.70084,0.18754,-0.01495,0.80884,-0.12907,-0.01137,-0.36239,-0.13139,-0.06829,-0.04776,0.82676,0.1713,0.0044,-0.42757,-0.1567,0.08403,0.05894
0.14,0.00238,0.00015,0.0009,3.01992,-0.72731,-0.0584,0.93303,0.04475,-0.01352,-0.35692,-0.01357,-0.01016,1.59485,-1.43893,1.11999,0.093,2.13422,0.24911,0.09516,-0.07427,1.61196,-0.05709,0.18267,-1.70088,0.18763,-0.01476,0.8088,-0.12918,-0.00975,-0.36235,-0.13147,-0.06836,-0.04784,0.82701,0.17152,0.00725,-0.42766,-0.1567,0.08418,0.05881
0.16,0.0026,0.00016,0.00105,3.0206,-0.72699,-0.05816,0.93276,0.04478,-0.01362,-0.35802,-0.0134,-0.01016,1.5948,-1.43843,1.11999,0.093,2.13411,0.249,0.09466,-0.08748,1.61221,-0.04414,0.18239,-1.70092,0.18772,-0.01457,0.80877,-0.12929,-0.00814,-0.3623,-0.13156,-0.06844,-0.04793,0.82726,0.17173,0.01005,-0.42774,-0.1567,0.08432,0.05868
0.18,0.00282,0.00017,0.00119,3.02127,-0.72665,-0.05792,0.93249,0.04479,-0.01375,-0.35916,-0.01324,-0.01016,1.59435,-1.43794,1.11999,0.093,2.13395,0.24888,0.09397,-0.10012,1.61251,-0.03189,0.18206,-1.7009,0.1878,-0.01436,0.80874,-0.12939,-0.00646,-0.36225,-0.13163,-0.06849,-0.04801,0.82753,0.17202,0.01312,-0.42783,-0.15672,0.0845,0.05854
