T,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00105,0.00165,0.00088,0.01162,0.00635,0.00254,-0.00324,-0.00024,-0.01889,-0.02877,0.0583,-0.00025,0.33608,-0.27191,-0.83121,-0.32766,-0.22911,-0.13785,0.38862,6.93331,1.03878,-6.81082,-0.51934,1.62315,-0.10401,-0.2308,-0.01646,0.05147,0.24571,0.01689,-0.02321,-0.01739,-0.01632,-0.01602,-0.03117,-0.1338,0.01789,-0.00557,-0.0082,0.00457
0.02,0.00298,0.00174,0.00105,0.01058,0.00306,0.00376,-0.00272,-0.00207,-0.01031,-0.03753,0.078,-0.00033,0.39136,-0.16337,-1.17287,-0.24576,-0.25915,-0.08909,0.47162,7.79597,1.00279,-7.64363,-0.3322,1.86255,-0.06516,-0.28243,-0.00987,0.06954,0.34543,0.01673,-0.03075,-0.0264,-0.02245,-0.01101,-0.05768,-0.24853,0.01968,-0.01685,0.00046,0.01097
0.04,0.00568,0.00175,0.00144,0.00921,-0.00225,0.00549,-0.00176,-0.00483,0.00186,-0.04934,0.10438,-0.00043,0.44229,0.02136,-1.6485,-0.10751,-0.28655,-0.01315,0.5747,8.6823,0.87871,-8.47714,-0.02472,2.13006,-0.00402,-0.34822,0.00042,0.09327,0.47942,0.01568,-0.0406,-0.03877,-0.0307,-0.00268,-0.09434,-0.4056,0.02118,-0.03237,0.01283,0.01977
0.06,0.00899,0.00164,0.00218,0.0077,-0.00967,0.00784,-3e-05,-0.00854,0.01778,-0.06453,0.13708,-0.00056,0.47808,0.29452,-2.26218,0.0969,-0.3059,0.09359,0.69364,9.47302,0.63894,-9.18751,0.42339,2.40246,0.08234,-0.42622,0.01427,0.12114,0.64211,0.01356,-0.05227,-0.05406,-0.04071,0.00902,-0.14027,-0.59911,0.022,-0.05153,0.02864,0.03065
0.08,0.01271,0.00138,0.00343,0.00627,-0.01922,0.01089,0.00279,-0.01318,0.03731,-0.08313,0.17511,-0.00071,0.48465,0.66628,-3.00735,0.37551,-0.31008,0.23334,0.82102,10.0073,0.25386,-9.60945,1.02832,2.64603,0.1958,-0.5126,0.03138,0.15102,0.82463,0.01018,-0.06497,-0.07155,-0.05195,0.02409,-0.19373,-0.81937,0.02166,-0.07339,0.04731,0.0431
0.1,0.01661,0.0009,0.00532,0.00519,-0.03088,0.01464,0.00691,-0.01871,0.05988,-0.10475,0.2168,-0.00088,0.44517,1.14383,-3.86623,0.7332,-0.2906,0.4062,0.9467,10.09479,-0.306,-9.54799,1.79934,2.81876,0.33666,-0.60189,0.05137,0.18046,1.01599,0.00534,-0.07776,-0.09031,-0.06373,0.04246,-0.25227,-1.05394,0.01958,-0.0967,0.06802,0.05642
0.12,0.02045,0.00015,0.00795,0.00483,-0.0446,0.01901,0.01243,-0.025,0.08435,-0.12857,0.25994,-0.00104,0.34126,1.73057,-4.80958,1.17038,-0.23809,0.60934,1.05838,9.53266,-1.06712,-8.79519,2.73581,2.87378,0.50312,-0.68732,0.07382,0.20698,1.20401,-0.00121,-0.08962,-0.10934,-0.07532,0.06406,-0.31284,-1.28842,0.01521,-0.11998,0.08977,0.06979
0.14,0.02399,-0.00092,0.01133,0.00562,-0.06023,0.02382,0.01921,-0.03193,0.10889,-0.15328,0.30182,-0.00119,0.15473,2.42534,-5.79695,1.68166,-0.14311,0.83642,1.14257,8.12807,-2.04963,-7.15276,3.82407,2.76394,0.69078,-0.76135,0.09828,0.22827,1.37629,-0.0097,-0.09955,-0.12761,-0.08601,0.08881,-0.37191,-1.50728,0.00798,-0.14157,0.11134,0.08231
0.16,0.02705,-0.00234,0.01543,0.00815,-0.07761,0.0288,0.02683,-0.03932,0.13093,-0.17713,0.3394,-0.00132,-0.12985,3.22194,-6.77762,2.25491,0.00271,1.0771,1.18576,5.72591,-3.26368,-4.46003,5.03467,2.44773,0.89234,-0.81633,0.12427,0.24251,1.52123,-0.02034,-0.10661,-0.14415,-0.09514,0.11656,-0.42565,-1.69478,-0.00252,-0.15971,0.13133,0.09301
0.18,0.02945,-0.00415,0.02011,0.01314,-0.09646,0.03362,0.03451,-0.04696,0.14718,-0.19803,0.3695,-0.00141,-0.5217,4.10895,-7.69193,2.87079,0.20531,1.31705,1.17585,2.24048,-4.7055,-0.62655,6.3202,1.89603,1.09754,-0.84526,0.15126,0.24853,1.62888,-0.0333,-0.11005,-0.15811,-0.10219,0.14708,-0.47012,-1.83602,-0.01656,-0.17262,0.14821,0.10092
0.2,0.0311,-0.00635,0.02509,0.02141,-0.11639,0.03786,0.04114,-0.05461,0.15372,-0.21363,0.389,-0.00146,-1.01954,5.06994,-8.47308,3.50305,0.46651,1.53844,1.10365,-2.31209,-6.3538,4.33383,7.61432,1.09912,1.29344,-0.84252,0.17866,0.24596,1.69177,-0.04869,-0.10936,-0.16886,-0.10681,0.17996,-0.50152,-1.91812,-0.03412,-0.17863,0.1604,0.10515
0.22,0.03194,-0.00892,0.03,0.03387,-0.13685,0.04111,0.04518,-0.06201,0.14633,-0.22153,0.39505,-0.00145,-1.6068,6.08402,-9.04885,4.1197,0.78215,1.72113,0.96427,-7.78473,-8.16672,10.27119,8.8322,0.07303,1.46521,-0.80456,0.2058,0.23537,1.70528,-0.06656,-0.10431,-0.17597,-0.10885,0.21452,-0.51646,-1.93143,-0.05486,-0.17632,0.16642,0.10497
0.24,0.03197,-0.01183,0.03429,0.05137,-0.15711,0.04301,0.04477,-0.06886,0.12089,-0.21949,0.38529,-0.00138,-2.24709,7.1269,-9.34385,4.68526,1.14037,1.84454,0.75826,-13.87963,-10.08011,16.87582,9.87328,-1.1359,1.59741,-0.73039,0.23188,0.21815,1.66771,-0.08692,-0.09494,-0.17924,-0.10833,0.24975,-0.51224,-1.87058,-0.07801,-0.16469,0.16501,0.09986
0.26,0.03124,-0.01502,0.03729,0.07461,-0.17625,0.04327,0.03781,-0.07483,0.07393,-0.20565,0.35804,-0.00125,-2.8813,8.17221,-9.28278,5.16377,1.5204,1.89016,0.49229,-20.14425,-12.0078,23.66933,10.62647,-2.4493,1.67567,-0.62183,0.25602,0.19644,1.58008,-0.10973,-0.08155,-0.17866,-0.10541,0.2842,-0.48709,-1.73544,-0.10236,-0.14331,0.15534,0.08964
0.28,0.02981,-0.01838,0.03813,0.10392,-0.19315,0.04174,0.02207,-0.07957,0.00325,-0.17879,0.31248,-0.00104,-3.42817,9.19312,-8.79578,5.52233,1.89222,1.84435,0.1794,-25.99117,-13.84466,30.01865,10.97836,-3.75921,1.68874,-0.48365,0.27722,0.17294,1.44595,-0.13494,-0.06467,-0.17442,-0.10038,0.31593,-0.4404,-1.53171,-0.12621,-0.11249,0.13718,0.07451
0.3,0.02778,-0.02181,0.03586,0.1391,-0.20661,0.03843,-0.00454,-0.08267,-0.09154,-0.13857,0.24885,-0.00078,-3.79031,10.16365,-7.82636,5.73431,2.21794,1.70095,-0.16154,-30.75004,-15.47285,35.1815,10.82398,-4.9362,1.63049,-0.32344,0.29451,0.15086,1.27146,-0.16248,-0.04505,-0.16687,-0.09361,0.3426,-0.37282,-1.27111,-0.14736,-0.07336,0.11099,0.05509
0.32,0.02524,-0.02516,0.0294,0.17925,-0.21544,0.03351,-0.04366,-0.08365,-0.20867,-0.08569,0.16857,-0.00047,-3.86705,11.05915,-6.34166,5.78168,2.45508,1.46334,-0.50722,-33.7564,-16.77132,38.38865,10.07967,-5.84397,1.50161,-0.15124,0.30703,0.1338,1.06558,-0.19224,-0.02361,-0.15658,-0.08558,0.36152,-0.28619,-0.97072,-0.16319,-0.02792,0.07803,0.03243
0.34,0.02227,-0.02828,0.01763,0.22265,-0.21868,0.02722,-0.09615,-0.08195,-0.34399,-0.02199,0.07426,-0.00014,-3.57347,11.85591,-4.34408,5.65596,2.56188,1.14533,-0.83232,-34.47419,-17.62815,38.95972,8.69679,-6.35999,1.31059,0.02123,0.31418,0.12573,0.84043,-0.22402,-0.0015,-0.14436,-0.07683,0.36991,-0.18329,-0.65146,-0.17066,0.02109,0.04022,0.00792
0.36,0.01892,-0.031,-0.00052,0.26672,-0.21578,0.01983,-0.16173,-0.07689,-0.4911,0.0496,-0.03026,0.00019,-2.86269,12.53012,-1.88227,5.35811,2.50423,0.77097,-1.11247,-32.63534,-17.95448,36.43664,6.67497,-6.39935,1.07389,0.18158,0.31576,0.13093,0.61147,-0.25747,0.02,-0.13126,-0.06803,0.36513,-0.06739,-0.33592,-0.16652,0.07036,-2e-05,-0.01684
0.38,0.01519,-0.03315,-0.02603,0.30807,-0.20678,0.01148,-0.23869,-0.06772,-0.64165,0.12505,-0.14009,0.0005,-1.74592,13.05693,0.94159,4.89785,2.2629,0.37301,-1.32745,-28.35132,-17.6978,30.70575,4.07276,-5.93644,0.81495,0.31795,0.31202,0.15384,0.3971,-0.29204,0.03949,-0.11854,-0.05995,0.34502,0.05821,-0.04587,-0.14748,0.11632,-0.04002,-0.04018
0.4,0.01102,-0.03458,-0.05966,0.3428,-0.19241,0.00216,-0.32379,-0.0536,-0.78584,0.19944,-0.24947,0.00075,-0.30351,13.40997,3.97195,4.29253,1.83966,-0.00995,-1.4637,-22.1038,-16.85097,22.07242,1.01228,-5.01829,0.56191,0.42026,0.30369,0.1987,0.21715,-0.32692,0.05559,-0.10755,-0.05335,0.30808,0.1906,0.19992,-0.11046,0.15538,-0.0771,-0.06053
0.42,0.00632,-0.03518,-0.10187,0.36691,-0.17393,-0.00839,-0.41237,-0.0337,-0.91311,0.26711,-0.35203,0.00089,1.31849,13.56104,7.0108,3.56581,1.26072,-0.33775,-1.51569,-14.56662,-15.45362,11.25642,-2.32507,-3.76373,0.34368,0.48133,0.29165,0.26898,0.09,-0.36101,0.0672,-0.09948,-0.04889,0.25364,0.32753,0.38722,-0.05291,0.18422,-0.10881,-0.07657
0.44,0.00092,-0.03485,-0.15274,0.37692,-0.1529,-0.02067,-0.4988,-0.00732,-1.01298,0.32189,-0.4412,0.00091,2.92822,13.48027,9.84027,2.74599,0.57647,-0.57432,-1.4857,-6.38924,-13.58447,-0.70296,-5.71336,-2.34646,0.18476,0.49775,0.27661,0.36651,0.02845,-0.39295,0.07372,-0.09499,-0.04689,0.18182,0.46748,0.50713,0.02685,0.20008,-0.13314,-0.08732
0.46,-0.00534,-0.03361,-0.21193,0.37056,-0.13068,-0.0354,-0.57714,0.02602,-1.07606,0.35745,-0.51066,0.00075,4.32071,13.13703,12.25362,1.86411,-0.14268,-0.69387,-1.38248,1.8876,-11.34671,-12.61383,-8.90557,-0.96532,0.09933,0.47053,0.25842,0.49059,0.03486,-0.42115,0.07545,-0.09379,-0.04708,0.09333,0.60963,0.55611,0.12918,0.20094,-0.14864,-0.09221
